SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY 50","24,472.45","24,473.30","24,265.95","24,471.70","24,435.95","-","-35.75","-0.15","317552958","27,570.29","26,373.20","22,182.55","0.95","-0.21"
"BHARTIARTL","1,908.60","1,945.00","1,901.30","1,915.20","1,945.00","-","29.8","1.56","10871157","2,077.27","2,174.50","1,740.50","1.28","5.12"
"HDFCBANK","729.00","730.65","722.00","729.00","729.00","-","0","0","26993177","1,957.46","1,020.50","722.00","-11.63","-25.99"
"SBIN","1,066.00","1,085.50","1,066.00","1,066.00","1,082.00","-","16","1.5","17673922","1,907.71","1,234.70","798.50","4.44","31.85"
"TCS","2,445.70","2,445.80","2,300.10","2,445.70","2,349.70","-","-96","-3.93","7022647","1,644.09","3,350.00","1,976.80","13.57","-22.59"
"ICICIBANK","1,429.40","1,435.00","1,418.60","1,429.60","1,431.70","-","2.1","0.15","8201733","1,169.31","1,480.00","1,187.60","2.18","0.68"
"RELIANCE","1,323.90","1,329.00","1,309.20","1,323.90","1,329.00","-","5.1","0.39","7901012","1,040.03","1,611.80","1,249.80","1.62","-3.72"
"HINDALCO","1,063.20","1,087.95","1,056.90","1,049.10","1,078.50","-","29.4","2.8","8786842","948.43","1,176.00","657.50","11.48","61.68"
"LT","4,038.00","4,044.10","3,990.00","4,037.40","4,020.00","-","-17.4","-0.43","2226623","891.33","4,440.00","3,288.10","1.88","9.06"
"INFY","1,185.60","1,190.40","1,163.30","1,190.70","1,176.10","-","-14.6","-1.23","7529777","883.53","1,728.00","982.40","10.12","-17.41"
"AXISBANK","1,230.00","1,234.90","1,216.90","1,229.80","1,230.00","-","0.2","0.02","7218881","883.26","1,418.30","1,042.50","-7.08","14.95"
"GRASIM","3,325.10","3,393.90","3,270.60","3,322.20","3,307.80","-","-14.4","-0.43","2309486","769.46","3,411.10","2,502.50","2.93","20.71"
"BAJFINANCE","1,093.00","1,094.70","1,080.00","1,093.30","1,094.20","-","0.9","0.08","7054842","766.27","1,176.40","787.90","7.22","28.28"
"TMPV","348.40","351.25","334.20","347.60","343.00","-","-4.6","-1.32","22384343","761.18","739.70","294.30","1.49","-47.56"
"APOLLOHOSP","8,750.50","8,775.50","8,507.50","8,750.50","8,597.00","-","-153.5","-1.75","876688","751.75","9,050.00","6,696.50","-2.76","18.8"
"TATASTEEL","188.35","188.88","183.60","188.25","186.20","-","-2.05","-1.09","36484049","676.56","224.40","153.05","-2.61","16.26"
"ETERNAL","318.95","318.95","312.60","318.00","314.05","-","-3.95","-1.24","19976751","628.97","368.45","212.60","8.42","2.66"
"M&M","3,460.00","3,471.80","3,403.60","3,460.10","3,403.60","-","-56.5","-1.63","1834082","627.58","3,839.90","2,896.00","8.76","5.16"
"TECHM","1,654.00","1,657.00","1,622.10","1,643.00","1,625.00","-","-18","-1.1","3746023","613.21","1,854.00","1,304.10","11.7","7.67"
"TITAN","5,128.00","5,128.00","4,992.00","5,128.00","5,099.00","-","-29","-0.57","1105157","558.60","5,168.00","3,303.10","11.23","46.24"
"BEL","406.00","406.25","399.30","405.85","405.70","-","-0.15","-0.04","13125672","528.45","473.45","361.20","-2.21","6.66"
"MARUTI","13,990.00","14,067.00","13,875.00","13,990.00","13,875.00","-","-115","-0.82","354408","494.94","17,370.00","12,201.00","0.15","8.06"
"KOTAKBANK","391.00","394.25","387.50","392.90","390.50","-","-2.4","-0.61","10733474","418.97","453.20","345.50","3.42","-0.33"
