SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY MICROCAP 250","26,038.90","26,120.35","25,997.30","25,997.90","26,094.90","-","97","0.37","620585587","16,211.30","26,188.85","18,858.50","2.32","12.87"
"AGARWALEYE","509.00","514.95","501.00","542.00","511.00","-","-31","-5.72","48136246","2,419.14","568.00","401.00","6.12","13.66"
"TDPOWERSYS","1,395.00","1,530.00","1,358.40","1,275.60","1,484.00","-","208.4","16.34","11127581","1,625.90","1,530.00","478.00","29.02","200.37"
"MARKSANS","280.00","320.00","277.45","278.95","309.70","-","30.75","11.02","47809908","1,486.55","320.00","155.00","13.69","65.85"
"CUPID","281.00","290.00","279.42","276.65","290.00","-","13.35","4.83","48203967","1,384.85","290.00","31.82","36.64","776.66"
"BLUESTONE","846.00","911.00","830.05","837.85","906.05","-","68.2","8.14","7488828","658.47","911.00","399.80","56.03","0"
"EMIL","185.02","195.00","183.01","184.75","193.00","-","8.25","4.47","31604982","601.54","195.00","84.90","43.64","58.22"
"EPL","244.27","259.83","236.29","235.78","241.96","-","6.18","2.62","15355500","381.75","259.83","176.40","1.85","4.57"
"AARTIPHARM","875.50","930.95","875.10","883.70","894.00","-","10.3","1.17","3552033","322.01","946.10","585.00","26.01","4.41"
"SENCO","376.00","379.45","343.00","401.25","346.50","-","-54.75","-13.64","7359766","263.41","430.00","276.00","-4.32","2.51"
"LUMAXTECH","2,085.00","2,110.00","2,000.10","2,076.30","2,015.00","-","-61.3","-2.95","1053290","216.41","2,110.00","990.00","35.14","96.85"
"PICCADIL","711.00","725.20","640.70","778.25","691.95","-","-86.3","-11.09","3217206","216.24","809.70","515.00","3","15.07"
"STLTECH","621.20","651.00","620.00","620.00","651.00","-","31","5","2563401","164.59","679.90","84.60","19.88","418.73"
"SKYGOLD","797.90","840.00","793.10","790.05","838.00","-","47.95","6.07","1979236","162.32","840.00","259.00","34.33","206.62"
"WABAG","1,950.00","1,965.00","1,875.00","1,950.10","1,899.00","-","-51.1","-2.62","821901","158.52","2,253.50","1,033.00","-14.51","23.76"
"MTARTECH","6,748.00","7,199.00","6,733.00","6,893.00","7,160.00","-","267","3.87","217622","152.04","8,714.00","1,390.50","0.83","389"
"PCJEWELLER","9.99","10.00","9.70","9.97","9.80","-","-0.17","-1.71","153619636","150.55","15.38","7.47","-1.9","-26.92"
"APOLLO","389.70","391.00","378.00","388.70","379.00","-","-9.7","-2.5","3532851","135.49","466.50","173.98","-7.3","101.96"
"RAIN","203.70","211.29","200.15","202.92","209.90","-","6.98","3.44","6310349","131.16","252.00","99.90","1.38","33.65"
"UJJIVANSFB","70.39","72.68","70.23","70.14","72.35","-","2.21","3.15","18062565","129.92","73.29","41.32","10.85","67.59"
"SANSERA","3,685.10","3,933.00","3,665.30","3,685.10","3,931.00","-","245.9","6.67","328395","125.16","3,938.00","1,216.30","18.98","208.34"
"QPOWER","1,301.20","1,301.20","1,280.30","1,239.30","1,299.00","-","59.7","4.82","894885","116.21","1,441.00","581.00","7.15","57.57"
"ELLEN","295.00","323.80","286.70","294.40","323.80","-","29.4","9.99","3412223","108.30","559.80","175.00","10.04","-37.51"
"PRICOLLTD","744.00","792.55","739.10","737.15","780.20","-","43.05","5.84","1368057","106.48","792.55","415.10","24.38","81.55"
"ICIL","423.00","445.15","389.45","423.20","405.80","-","-17.4","-4.11","2410797","99.76","463.80","216.90","-1.64","68.56"
"MIDHANI","427.75","438.60","400.15","427.75","403.70","-","-24.05","-5.62","2359127","99.19","454.80","266.65","-2.93","4.29"
"KTKBANK","303.50","314.00","301.20","302.85","313.25","-","10.4","3.43","3017208","93.67","316.80","169.12","13.35","81.91"
"TI","520.00","539.00","515.40","520.75","530.00","-","9.25","1.78","1733388","92.00","549.70","381.55","18.71","7.36"
"ASTRAMICRO","1,712.20","1,749.30","1,651.20","1,703.70","1,673.00","-","-30.7","-1.8","531299","90.00","1,960.00","851.00","-7.25","70.4"
"AVALON","1,940.00","2,002.60","1,927.00","1,938.30","1,973.70","-","35.4","1.83","406426","80.27","2,004.00","777.30","11.63","123.51"
"SHILPAMED","819.50","820.95","800.10","819.70","803.65","-","-16.05","-1.96","977909","79.33","825.40","259.50","28.14","84.7"
"PARAS","1,284.00","1,308.80","1,263.50","1,284.00","1,282.30","-","-1.7","-0.13","590759","75.89","1,443.00","580.50","2.33","95.37"
"THANGAMAYL","5,236.50","5,390.00","5,235.00","5,228.00","5,342.50","-","114.5","2.19","141031","74.99","7,430.00","1,939.50","-18.32","170.18"
"THYROCARE","649.00","662.00","637.60","649.35","642.00","-","-7.35","-1.13","1159737","74.87","662.00","342.55","24.49","42.61"
"LLOYDSENGG","93.75","94.25","91.00","93.04","92.70","-","-0.34","-0.37","7926085","73.22","99.75","37.40","2.32","36.4"
"JYOTHYLAB","203.50","203.50","190.11","204.04","200.00","-","-4.04","-1.98","3414689","66.99","352.70","188.10","-0.27","-39.89"
"VGUARD","323.80","336.70","321.90","324.30","332.00","-","7.7","2.37","1980024","65.82","392.20","288.80","8.64","-7.64"
"TIMETECHNO","206.75","210.90","206.35","207.28","208.10","-","0.82","0.4","3032023","63.29","249.15","154.00","12.88","-5.73"
"SKIPPER","522.65","546.45","509.50","526.25","543.80","-","17.55","3.33","1183882","63.00","593.00","327.05","-0.49","8.07"
"AVANTIFEED","844.15","873.45","829.90","859.80","868.00","-","8.2","0.95","727054","61.91","1,593.80","614.25","-6.14","30.62"
"GOKEX","780.00","790.20","741.00","788.95","761.00","-","-27.95","-3.54","801501","61.15","954.90","531.00","-8.62","8.47"
"KPIGREEN","348.00","352.75","335.10","350.90","336.60","-","-14.3","-4.08","1775887","60.81","542.25","332.90","-16.81","-34.62"
"VIYASH","262.70","267.80","258.55","261.45","263.00","-","1.55","0.59","2076289","54.45","298.00","167.95","-5.33","50.96"
"AZAD","2,472.10","2,495.40","2,450.40","2,472.10","2,487.00","-","14.9","0.6","218236","54.01","2,589.00","1,360.00","0.3","69.21"
"BECTORFOOD","241.00","243.39","233.52","240.62","242.03","-","1.41","0.59","2242467","53.54","301.24","165.00","42.9","-15.49"
"RBA","93.00","95.35","92.32","92.65","93.64","-","0.99","1.07","5706033","53.51","96.45","57.15","27.37","18.37"
"SHAILY","3,457.90","3,496.30","3,402.50","3,457.90","3,450.00","-","-7.9","-0.23","151320","52.18","3,615.20","1,604.30","24.67","96.25"
"DIACABS","367.00","379.00","362.00","362.00","368.00","-","6","1.66","1355550","50.36","379.00","115.57","60.69","145.61"
