SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY NEXT 50","74,580.35","74,759.40","74,130.25","74,650.85","74,748.10","-","97.25","0.13","283606129","14,739.03","74,878.45","59,896.10","3.25","12.87"
"GODREJCP","922.50","951.80","907.80","1,025.00","910.00","-","-115","-11.22","22527411","2,080.79","1,309.00","907.80","-16.39","-24.2"
"HAL","4,909.00","5,055.00","4,803.40","4,909.00","4,995.00","-","86","1.75","2901166","1,438.93","5,055.00","3,479.10","10.83","13.28"
"PNB","113.95","119.50","113.72","114.03","118.98","-","4.95","4.34","51235935","604.58","135.15","98.50","12.87","11.56"
"ZYDUSLIFE","1,190.00","1,205.00","1,151.00","1,191.00","1,205.00","-","14","1.18","4567528","543.90","1,205.00","835.50","4.71","26.09"
"DIVISLAB","8,630.00","8,674.00","8,471.50","8,578.50","8,600.00","-","21.5","0.25","559195","479.51","8,674.00","5,636.50","25.8","44.27"
"PFC","381.00","381.65","375.30","381.00","376.50","-","-4.5","-1.18","12028949","453.96","486.50","329.90","-7.38","-9.43"
"BOSCHLTD","45,040.00","46,735.00","45,040.00","45,185.00","46,480.00","-","1295","2.87","96508","447.60","46,735.00","28,610.00","11.16","20.38"
"HINDZINC","589.95","597.80","576.50","586.65","584.60","-","-2.05","-0.35","7584733","447.10","733.00","414.55","8.87","38.06"
"UNIONBANK","182.50","187.60","181.82","182.50","187.00","-","4.5","2.47","22005359","409.32","205.49","124.64","13.67","37.97"
"TVSMOTOR","4,400.00","4,427.80","4,347.20","4,400.00","4,375.00","-","-25","-0.57","911635","399.54","4,475.00","2,955.50","20.75","47.61"
"RECLTD","344.70","347.20","339.00","344.70","346.00","-","1.3","0.38","11330857","388.58","390.50","304.05","-1.69","-10.23"
"TMCV","451.00","459.50","448.30","450.05","456.90","-","6.85","1.52","8148968","370.26","509.00","306.30","8.14","0"
"CANBK","130.00","133.11","129.60","130.30","132.00","-","1.7","1.3","26542679","350.04","162.89","103.55","2.5","20.49"
