SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY SMALLCAP 250","18,414.60","18,427.85","18,314.40","18,381.85","18,335.65","-","-46.2","-0.25","660793135","26,001.50","18,427.85","14,143.45","1.2","10.31"
"TENNIND","542.00","551.00","525.00","550.60","539.00","-","-11.6","-2.11","58478202","3,099.75","657.00","438.05","-8.57","0"
"FINCABLES","1,240.00","1,374.00","1,233.00","1,207.85","1,269.00","-","61.15","5.06","20153531","2,652.22","1,374.00","700.80","20.34","50.37"
"HINDCOPPER","530.85","569.90","529.60","533.30","548.50","-","15.2","2.85","36903374","2,048.91","760.05","226.70","10","129.25"
"MANAPPURAM","369.95","369.95","351.00","360.00","352.60","-","-7.4","-2.06","31501308","1,129.45","381.55","245.15","3.31","38.79"
"ATHERENERG","1,531.70","1,580.00","1,511.10","1,525.40","1,572.60","-","47.2","3.09","4521175","702.42","1,580.00","398.20","28.29","292.07"
"HFCL","215.40","223.61","215.00","214.24","221.05","-","6.81","3.18","28062533","617.54","229.50","59.82","1.75","207.06"
"KPIL","1,348.30","1,468.00","1,348.30","1,347.70","1,399.00","-","51.3","3.81","3715117","529.27","1,479.60","1,007.10","3.48","13.89"
"ARE&M","970.25","1,017.30","962.20","970.25","969.80","-","-0.45","-0.05","5108022","506.56","1,057.85","670.00","8.96","1.51"
"KAYNES","3,718.10","3,860.00","3,700.50","3,717.70","3,828.00","-","110.3","2.97","1218140","460.93","7,705.00","2,995.00","14.74","-34.1"
"FORCEMOT","18,347.00","19,399.00","18,347.00","18,330.00","19,269.00","-","939","5.12","240317","458.89","26,450.00","14,911.00","6.05","1.85"
"ZEEL","92.50","98.85","90.26","91.56","98.10","-","6.54","7.14","45453756","432.54","124.14","68.00","0.65","-13.4"
"CHENNPETRO","1,418.00","1,444.00","1,370.10","1,426.10","1,377.00","-","-49.1","-3.44","2824270","397.47","1,449.00","620.85","16.63","108.38"
"DATAPATTNS","4,403.00","4,546.10","4,399.90","4,391.60","4,504.00","-","112.4","2.56","836820","376.02","4,955.90","2,131.00","3.71","78.37"
"PINELABS","168.52","171.05","164.51","167.58","169.95","-","2.37","1.41","19985559","335.56","284.00","134.73","16.99","0"
"NETWEB","4,866.00","4,907.90","4,753.00","4,859.80","4,845.30","-","-14.5","-0.3","613049","295.83","5,244.00","2,037.30","12.55","131.44"
