SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY TOTAL MARKET","13,373.30","13,373.55","13,284.60","13,367.80","13,365.30","-","-2.5","-0.02","3189833919","1,10,805.73","13,548.00","11,436.55","1.43","5.23"
"TENNIND","542.00","551.00","525.00","550.60","539.00","-","-11.6","-2.11","58478202","3,099.75","657.00","438.05","-8.57","0"
"FINCABLES","1,240.00","1,374.00","1,233.00","1,207.85","1,269.00","-","61.15","5.06","20153531","2,652.22","1,374.00","700.80","20.34","50.37"
"AGARWALEYE","509.00","514.95","501.00","542.00","511.00","-","-31","-5.72","48136246","2,419.14","568.00","401.00","6.12","13.66"
"GODREJCP","922.50","951.80","907.80","1,025.00","910.00","-","-115","-11.22","22527411","2,080.79","1,309.00","907.80","-16.39","-24.2"
"BHARTIARTL","1,908.60","1,945.00","1,901.30","1,915.20","1,945.00","-","29.8","1.56","10871157","2,077.27","2,174.50","1,740.50","1.28","5.12"
"HINDCOPPER","530.85","569.90","529.60","533.30","548.50","-","15.2","2.85","36903374","2,048.91","760.05","226.70","10","129.25"
"HDFCBANK","729.00","730.65","722.00","729.00","729.00","-","0","0","26993177","1,957.46","1,020.50","722.00","-11.63","-25.99"
"SBIN","1,066.00","1,085.50","1,066.00","1,066.00","1,082.00","-","16","1.5","17673922","1,907.71","1,234.70","798.50","4.44","31.85"
"MCX","2,965.00","2,987.90","2,880.10","2,895.00","2,970.10","-","75.1","2.59","6169318","1,816.73","3,480.00","1,460.80","7.2","82.18"
"TCS","2,445.70","2,445.80","2,300.10","2,445.70","2,349.70","-","-96","-3.93","7022647","1,644.09","3,350.00","1,976.80","13.57","-22.59"
"TDPOWERSYS","1,395.00","1,530.00","1,358.40","1,275.60","1,484.00","-","208.4","16.34","11127581","1,625.90","1,530.00","478.00","29.02","200.37"
"MARKSANS","280.00","320.00","277.45","278.95","309.70","-","30.75","11.02","47809908","1,486.55","320.00","155.00","13.69","65.85"
"HAL","4,909.00","5,055.00","4,803.40","4,909.00","4,995.00","-","86","1.75","2901166","1,438.93","5,055.00","3,479.10","10.83","13.28"
"NATIONALUM","398.50","422.20","398.50","388.00","420.00","-","32","8.25","34388331","1,432.72","445.15","183.86","18.36","125.18"
"CUPID","281.00","290.00","279.42","276.65","290.00","-","13.35","4.83","48203967","1,384.85","290.00","31.82","36.64","776.66"
"BSE","3,605.00","3,605.90","3,501.00","3,605.00","3,527.00","-","-78","-2.16","3896840","1,380.20","4,446.80","2,021.50","-7.47","48.9"
"ICICIBANK","1,429.40","1,435.00","1,418.60","1,429.60","1,431.70","-","2.1","0.15","8201733","1,169.31","1,480.00","1,187.60","2.18","0.68"
"MANAPPURAM","369.95","369.95","351.00","360.00","352.60","-","-7.4","-2.06","31501308","1,129.45","381.55","245.15","3.31","38.79"
"RELIANCE","1,323.90","1,329.00","1,309.20","1,323.90","1,329.00","-","5.1","0.39","7901012","1,040.03","1,611.80","1,249.80","1.62","-3.72"
"IDEA","12.93","13.69","12.83","12.89","13.50","-","0.61","4.73","772547405","1,027.49","15.34","6.12","-4.86","108.66"
"HINDALCO","1,063.20","1,087.95","1,056.90","1,049.10","1,078.50","-","29.4","2.8","8786842","948.43","1,176.00","657.50","11.48","61.68"
"LT","4,038.00","4,044.10","3,990.00","4,037.40","4,020.00","-","-17.4","-0.43","2226623","891.33","4,440.00","3,288.10","1.88","9.06"
"INFY","1,185.60","1,190.40","1,163.30","1,190.70","1,176.10","-","-14.6","-1.23","7529777","883.53","1,728.00","982.40","10.12","-17.41"
"AXISBANK","1,230.00","1,234.90","1,216.90","1,229.80","1,230.00","-","0.2","0.02","7218881","883.26","1,418.30","1,042.50","-7.08","14.95"
"LICI","409.00","417.00","404.70","406.00","417.00","-","11","2.71","20957554","862.53","468.48","360.75","-5.88","-9"
"GRASIM","3,325.10","3,393.90","3,270.60","3,322.20","3,307.80","-","-14.4","-0.43","2309486","769.46","3,411.10","2,502.50","2.93","20.71"
"BAJFINANCE","1,093.00","1,094.70","1,080.00","1,093.30","1,094.20","-","0.9","0.08","7054842","766.27","1,176.40","787.90","7.22","28.28"
"TMPV","348.40","351.25","334.20","347.60","343.00","-","-4.6","-1.32","22384343","761.18","739.70","294.30","1.49","-47.56"
"APOLLOHOSP","8,750.50","8,775.50","8,507.50","8,750.50","8,597.00","-","-153.5","-1.75","876688","751.75","9,050.00","6,696.50","-2.76","18.8"
"ATHERENERG","1,531.70","1,580.00","1,511.10","1,525.40","1,572.60","-","47.2","3.09","4521175","702.42","1,580.00","398.20","28.29","292.07"
"TATASTEEL","188.35","188.88","183.60","188.25","186.20","-","-2.05","-1.09","36484049","676.56","224.40","153.05","-2.61","16.26"
"APARINDS","16,899.00","18,465.00","16,850.00","16,748.00","18,200.00","-","1452","8.67","378780","661.69","18,465.00","6,801.00","29.46","106.5"
"BLUESTONE","846.00","911.00","830.05","837.85","906.05","-","68.2","8.14","7488828","658.47","911.00","399.80","56.03","0"
"POWERINDIA","35,000.00","35,925.00","34,730.00","35,000.00","35,800.00","-","800","2.29","180600","641.21","38,785.00","16,111.00","9.8","72.99"
"ETERNAL","318.95","318.95","312.60","318.00","314.05","-","-3.95","-1.24","19976751","628.97","368.45","212.60","8.42","2.66"
"M&M","3,460.00","3,471.80","3,403.60","3,460.10","3,403.60","-","-56.5","-1.63","1834082","627.58","3,839.90","2,896.00","8.76","5.16"
"HFCL","215.40","223.61","215.00","214.24","221.05","-","6.81","3.18","28062533","617.54","229.50","59.82","1.75","207.06"
"TECHM","1,654.00","1,657.00","1,622.10","1,643.00","1,625.00","-","-18","-1.1","3746023","613.21","1,854.00","1,304.10","11.7","7.67"
"PNB","113.95","119.50","113.72","114.03","118.98","-","4.95","4.34","51235935","604.58","135.15","98.50","12.87","11.56"
"BHEL","404.50","420.20","403.25","403.00","420.00","-","17","4.22","14607097","603.11","446.50","205.12","6.26","88.45"
"EMIL","185.02","195.00","183.01","184.75","193.00","-","8.25","4.47","31604982","601.54","195.00","84.90","43.64","58.22"
"HEROMOTOCO","5,875.00","5,916.00","5,844.00","5,865.50","5,895.00","-","29.5","0.5","996651","587.35","6,388.50","4,539.00","19.11","26.91"
"TITAN","5,128.00","5,128.00","4,992.00","5,128.00","5,099.00","-","-29","-0.57","1105157","558.60","5,168.00","3,303.10","11.23","46.24"
"KALYANKJIL","605.00","608.60","585.05","602.20","596.70","-","-5.5","-0.91","9251306","551.41","648.95","327.05","25.32","14.16"
"PIIND","2,700.50","2,700.60","2,457.00","2,730.00","2,483.00","-","-247","-9.05","2138051","545.17","3,917.80","2,457.00","-4.77","-35.3"
"ZYDUSLIFE","1,190.00","1,205.00","1,151.00","1,191.00","1,205.00","-","14","1.18","4567528","543.90","1,205.00","835.50","4.71","26.09"
"KPIL","1,348.30","1,468.00","1,348.30","1,347.70","1,399.00","-","51.3","3.81","3715117","529.27","1,479.60","1,007.10","3.48","13.89"
"BEL","406.00","406.25","399.30","405.85","405.70","-","-0.15","-0.04","13125672","528.45","473.45","361.20","-2.21","6.66"
"ARE&M","970.25","1,017.30","962.20","970.25","969.80","-","-0.45","-0.05","5108022","506.56","1,057.85","670.00","8.96","1.51"
"GROWW","193.70","198.00","192.40","193.50","197.30","-","3.8","1.96","25335276","495.66","227.20","112.00","-3.51","0"
"MARUTI","13,990.00","14,067.00","13,875.00","13,990.00","13,875.00","-","-115","-0.82","354408","494.94","17,370.00","12,201.00","0.15","8.06"
